func,cwe
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_ncpy_68b_badSink()
{
    char * data = CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_ncpy_68_badData;
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        strncpy(data, source, 100-1);
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_41_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        SNPRINTF(data, 100, ""%s"", source);
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_51b_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        SNPRINTF(data, 100, ""%s"", source);
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_52b_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_52c_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_52c_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        SNPRINTF(data, 100, ""%s"", source);
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_53b_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_53c_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_53c_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_53d_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_53d_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        SNPRINTF(data, 100, ""%s"", source);
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_54b_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_54c_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_54c_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_54d_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_54d_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_54e_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_54e_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        SNPRINTF(data, 100, ""%s"", source);
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_63b_badSink(char * * dataPtr)
{
    char * data = *dataPtr;
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        SNPRINTF(data, 100, ""%s"", source);
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_64b_badSink(void * dataVoidPtr)
{
    /* cast void pointer to a pointer of the appropriate type */
    char * * dataPtr = (char * *)dataVoidPtr;
    /* dereference dataPtr into data */
    char * data = (*dataPtr);
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        SNPRINTF(data, 100, ""%s"", source);
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_65b_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        SNPRINTF(data, 100, ""%s"", source);
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_66b_badSink(char * dataArray[])
{
    /* copy data out of dataArray */
    char * data = dataArray[2];
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        SNPRINTF(data, 100, ""%s"", source);
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_67b_badSink(CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_67_structType myStruct)
{
    char * data = myStruct.structFirst;
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        SNPRINTF(data, 100, ""%s"", source);
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_68b_badSink()
{
    char * data = CWE121_Stack_Based_Buffer_Overflow__CWE805_char_alloca_snprintf_68_badData;
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        SNPRINTF(data, 100, ""%s"", source);
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_41_badSink(char * data)
{
    {
        size_t i;
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        for (i = 0; i < 100; i++)
        {
            data[i] = source[i];
        }
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_51b_badSink(char * data)
{
    {
        size_t i;
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        for (i = 0; i < 100; i++)
        {
            data[i] = source[i];
        }
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_52b_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_52c_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_52c_badSink(char * data)
{
    {
        size_t i;
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        for (i = 0; i < 100; i++)
        {
            data[i] = source[i];
        }
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_53b_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_53c_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_53c_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_53d_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_53d_badSink(char * data)
{
    {
        size_t i;
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        for (i = 0; i < 100; i++)
        {
            data[i] = source[i];
        }
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_54b_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_54c_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_54c_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_54d_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_54d_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_54e_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_54e_badSink(char * data)
{
    {
        size_t i;
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        for (i = 0; i < 100; i++)
        {
            data[i] = source[i];
        }
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_63b_badSink(char * * dataPtr)
{
    char * data = *dataPtr;
    {
        size_t i;
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        for (i = 0; i < 100; i++)
        {
            data[i] = source[i];
        }
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_64b_badSink(void * dataVoidPtr)
{
    /* cast void pointer to a pointer of the appropriate type */
    char * * dataPtr = (char * *)dataVoidPtr;
    /* dereference dataPtr into data */
    char * data = (*dataPtr);
    {
        size_t i;
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        for (i = 0; i < 100; i++)
        {
            data[i] = source[i];
        }
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_65b_badSink(char * data)
{
    {
        size_t i;
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        for (i = 0; i < 100; i++)
        {
            data[i] = source[i];
        }
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_66b_badSink(char * dataArray[])
{
    /* copy data out of dataArray */
    char * data = dataArray[2];
    {
        size_t i;
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        for (i = 0; i < 100; i++)
        {
            data[i] = source[i];
        }
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_67b_badSink(CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_67_structType myStruct)
{
    char * data = myStruct.structFirst;
    {
        size_t i;
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        for (i = 0; i < 100; i++)
        {
            data[i] = source[i];
        }
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_68b_badSink()
{
    char * data = CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_loop_68_badData;
    {
        size_t i;
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        for (i = 0; i < 100; i++)
        {
            data[i] = source[i];
        }
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_41_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memcpy(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_51b_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memcpy(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_52b_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_52c_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_52c_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memcpy(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_53b_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_53c_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_53c_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_53d_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_53d_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memcpy(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_54b_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_54c_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_54c_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_54d_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_54d_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_54e_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_54e_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memcpy(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_63b_badSink(char * * dataPtr)
{
    char * data = *dataPtr;
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memcpy(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_64b_badSink(void * dataVoidPtr)
{
    /* cast void pointer to a pointer of the appropriate type */
    char * * dataPtr = (char * *)dataVoidPtr;
    /* dereference dataPtr into data */
    char * data = (*dataPtr);
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memcpy(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_65b_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memcpy(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_66b_badSink(char * dataArray[])
{
    /* copy data out of dataArray */
    char * data = dataArray[2];
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memcpy(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_67b_badSink(CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_67_structType myStruct)
{
    char * data = myStruct.structFirst;
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memcpy(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_68b_badSink()
{
    char * data = CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memcpy_68_badData;
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memcpy(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_41_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memmove(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_51b_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memmove(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_52b_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_52c_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_52c_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memmove(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_53b_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_53c_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_53c_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_53d_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_53d_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memmove(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_54b_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_54c_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_54c_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_54d_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_54d_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_54e_badSink(data);
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_54e_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memmove(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_63b_badSink(char * * dataPtr)
{
    char * data = *dataPtr;
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memmove(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_64b_badSink(void * dataVoidPtr)
{
    /* cast void pointer to a pointer of the appropriate type */
    char * * dataPtr = (char * *)dataVoidPtr;
    /* dereference dataPtr into data */
    char * data = (*dataPtr);
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memmove(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_65b_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memmove(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_66b_badSink(char * dataArray[])
{
    /* copy data out of dataArray */
    char * data = dataArray[2];
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memmove(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_67b_badSink(CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_67_structType myStruct)
{
    char * data = myStruct.structFirst;
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memmove(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_68b_badSink()
{
    char * data = CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_memmove_68_badData;
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the size of data is less than the length of source */
        memmove(data, source, 100*sizeof(char));
        data[100-1] = '\0'; /* Ensure the destination buffer is null terminated */
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_41_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the sizeof(data)-strlen(data) is less than the length of source */
        strncat(data, source, 100);
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_51b_badSink(char * data)
{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        /* POTENTIAL FLAW: Possible buffer overflow if the sizeof(data)-strlen(data) is less than the length of source */
        strncat(data, source, 100);
        printLine(data);
    }
}",CWE-121
"void CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_52b_badSink(char * data)
{
    CWE121_Stack_Based_Buffer_Overflow__CWE805_char_declare_ncat_52c_badSink(data);
}",CWE-121
